index,sensor_id,latitude,longitude
0,400001,37.364085,-121.901149
1,400017,37.253303,-121.94544
2,400030,37.359087,-121.906538
3,400040,37.294949,-121.873109
4,400045,37.363402,-121.902233
5,400052,37.255791,-121.875479
6,400057,37.335022,-121.935522
7,400059,37.250481,-121.907735
8,400065,37.320292,-121.890281
9,400069,37.385758,-121.977493
10,400073,37.2563,-121.955559
11,400084,37.329258,-122.012053
12,400085,37.255594,-121.87471
13,400088,37.414988,-121.912685
14,400096,37.417981,-121.972547
15,400097,37.279012,-122.010614
16,400100,37.295052,-121.938872
17,400104,37.419313,-121.95548
18,400109,37.362706,-121.889426
19,400122,37.36614,-121.901132
20,400147,37.34221,-121.926305
21,400148,37.250664,-121.912479
22,400149,37.4118,-122.077964
23,400158,37.421059,-121.93678
24,400160,37.348392,-121.860589
25,400168,37.391166,-121.995524
26,400172,37.376264,-121.939712
27,400174,37.403686,-122.06976
28,400178,37.276874,-121.863698
29,400185,37.303131,-122.034527
30,400201,37.419186,-121.962831
31,400206,37.381356,-121.96211
32,400209,37.319961,-122.049031
33,400213,37.259192,-121.967128
34,400221,37.293614,-121.937899
35,400222,37.275395,-122.004702
36,400227,37.377237,-121.943586
37,400236,37.325009,-121.892984
38,400238,37.413256,-121.912324
39,400240,37.258184,-121.953853
40,400246,37.386551,-121.979462
41,400253,37.342957,-121.925721
42,400257,37.291715,-121.871799
43,400258,37.313462,-121.886197
44,400268,37.255651,-121.858078
45,400274,37.409627,-121.997252
46,400278,37.266561,-121.948692
47,400280,37.26198,-121.858479
48,400292,37.316378,-121.972052
49,400296,37.420359,-121.93915
50,400298,37.293047,-121.937861
51,400330,37.398628,-122.026802
52,400336,37.250624,-121.928209
53,400343,37.348907,-121.917833
54,400353,37.383125,-121.967496
55,400372,37.38482,-121.974251
56,400394,37.364382,-121.902692
57,400400,37.34241,-121.854543
58,400414,37.317942,-121.977301
59,400418,37.291828,-121.871836
60,400429,37.319424,-121.993175
61,400435,37.403153,-122.047463
